"Stkcd","Trddt","ChangeRatio"
"002594","2021-06-08","0.065458"
"002594","2021-06-09","-0.003994"
"002594","2021-06-10","0.059950"
"002594","2021-06-11","0.060296"
"002594","2021-06-15","0.023346"
"002594","2021-06-16","-0.091770"
"002594","2021-06-17","0.100000"
"002594","2021-06-18","0.055579"
"002594","2021-06-21","-0.009878"
"002594","2021-06-22","-0.019375"
"002594","2021-06-23","0.022785"
"002594","2021-06-24","0.006535"
"002594","2021-06-25","0.000408"
"002594","2021-06-28","0.035267"
"002594","2021-06-29","-0.001301"
"002594","2021-06-30","-0.009080"
"002594","2021-07-01","-0.057371"
"002594","2021-07-02","0.010313"
"002594","2021-07-05","0.043968"
"002594","2021-07-06","0.003807"
"002594","2021-07-07","0.018323"
"002594","2021-07-08","-0.012270"
"002594","2021-07-09","-0.012462"
"002594","2021-07-12","0.070975"
"002594","2021-07-13","-0.005179"
"002594","2021-07-14","-0.074727"
"002594","2021-07-15","-0.036243"
"002594","2021-07-16","-0.057022"
"002594","2021-07-19","0.004710"
"002594","2021-07-20","0.015761"
"002594","2021-07-21","0.060352"
"002594","2021-07-22","0.032044"
"002594","2021-07-23","0.039042"
"002594","2021-07-26","-0.039160"
"002594","2021-07-27","-0.039590"
"002594","2021-07-28","-0.009258"
"002594","2021-07-29","0.087526"
"002594","2021-07-30","0.029199"
"002594","2021-08-02","0.099996"
"002594","2021-08-03","-0.038121"
"002594","2021-08-04","0.100007"
"002594","2021-08-05","-0.028011"
"002594","2021-08-06","0.013932"
"002594","2021-08-09","-0.032720"
"002594","2021-08-10","-0.005280"
"002594","2021-08-11","0.010240"
"002594","2021-08-12","0.047425"
"002594","2021-08-13","-0.028999"
"002594","2021-08-16","-0.048730"
"002594","2021-08-17","-0.017835"
"002594","2021-08-18","0.011951"
"002594","2021-08-19","0.035465"
"002594","2021-08-20","-0.029382"
"002594","2021-08-23","0.016521"
"002594","2021-08-24","0.029158"
"002594","2021-08-25","-0.006873"
"002594","2021-08-26","-0.046253"
"002594","2021-08-27","0.020000"
"002594","2021-08-30","-0.021447"
"002594","2021-08-31","-0.017626"
"002594","2021-09-01","-0.038628"
"002594","2021-09-02","0.002629"
"002594","2021-09-03","-0.048277"
"002594","2021-09-06","0.092440"
"002594","2021-09-07","-0.005944"
"002594","2021-09-08","-0.023048"
"002594","2021-09-09","0.007864"
"002594","2021-09-10","-0.022450"
"002594","2021-09-13","-0.016001"
"002594","2021-09-14","0.030112"
"002594","2021-09-15","-0.030012"
"002594","2021-09-16","-0.038867"
"002594","2021-09-17","0.016414"
"002594","2021-09-22","-0.031044"
"002594","2021-09-23","0.011003"
"002594","2021-09-24","0.007402"
"002594","2021-09-27","0.002899"
"002594","2021-09-28","-0.022337"
"002594","2021-09-29","-0.043993"
"002594","2021-09-30","0.057246"
"002594","2021-10-08","0.013987"
"002594","2021-10-11","0.010870"
"002594","2021-10-12","0.004927"
"002594","2021-10-13","0.055212"
"002594","2021-10-14","0.006416"
"002594","2021-10-15","0.038067"
"002594","2021-10-18","0.009141"
"002594","2021-10-19","-0.003952"
"002594","2021-10-20","0.020401"
"002594","2021-10-21","-0.012354"
"002594","2021-10-22","0.045260"
"002594","2021-10-25","0.057833"
"002594","2021-10-26","0.005231"
"002594","2021-10-27","0.008558"
"002594","2021-10-28","-0.042767"
"002594","2021-10-29","0.010812"
"002594","2021-11-01","-0.029906"
"002594","2021-11-02","0.039338"
"002594","2021-11-03","-0.034631"
"002594","2021-11-04","0.072572"
"002594","2021-11-05","-0.033846"
"002594","2021-11-08","0.003185"
"002594","2021-11-09","0.018063"
"002594","2021-11-10","-0.032524"
"002594","2021-11-11","0.005576"
"002594","2021-11-12","-0.016699"
"002594","2021-11-15","-0.038594"
"002594","2021-11-16","-0.004848"
"002594","2021-11-17","0.011380"
"002594","2021-11-18","-0.004885"
"002594","2021-11-19","0.004807"
"002594","2021-11-22","0.047773"
"002594","2021-11-23","-0.008103"
"002594","2021-11-24","-0.017116"
"002594","2021-11-25","-0.017150"
"002594","2021-11-26","-0.001141"
"002594","2021-11-29","0.022845"
"002594","2021-11-30","0.000788"
"002594","2021-12-01","0.002035"
"002594","2021-12-02","0.011398"
"002594","2021-12-03","-0.006153"
"002594","2021-12-06","-0.016781"
"002594","2021-12-07","-0.023032"
"002594","2021-12-08","0.020319"
"002594","2021-12-09","-0.004289"
"002594","2021-12-10","0.006411"
"002594","2021-12-13","-0.010019"
"002594","2021-12-14","-0.016756"
"002594","2021-12-15","-0.000170"
"002594","2021-12-16","-0.024374"
"002594","2021-12-17","-0.025227"
"002594","2021-12-20","-0.030396"
"002594","2021-12-21","0.021109"
"002594","2021-12-22","0.010898"
"002594","2021-12-23","0.002758"
"002594","2021-12-24","-0.035680"
"002594","2021-12-27","-0.011000"
"002594","2021-12-28","0.014306"
"002594","2021-12-29","-0.006830"
"002594","2021-12-30","-0.006952"
"002594","2021-12-31","0.003706"
"600519","2021-01-04","-0.000501"
"600519","2021-01-05","0.031272"
"600519","2021-01-06","0.019690"
"600519","2021-01-07","0.019048"
"600519","2021-01-08","-0.023364"
"600519","2021-01-11","0.004656"
"600519","2021-01-12","0.029132"
"600519","2021-01-13","0.001435"
"600519","2021-01-14","-0.013863"
"600519","2021-01-15","-0.024367"
"600519","2021-01-18","-0.009126"
"600519","2021-01-19","-0.025977"
"600519","2021-01-20","0.015537"
"600519","2021-01-21","0.014393"
"600519","2021-01-22","0.004807"
"600519","2021-01-25","0.045698"
"600519","2021-01-26","-0.015223"
"600519","2021-01-27","-0.024693"
"600519","2021-01-28","-0.000479"
"600519","2021-01-29","0.013496"
"600519","2021-02-01","-0.003242"
"600519","2021-02-02","0.016915"
"600519","2021-02-03","0.020937"
"600519","2021-02-04","0.059792"
"600519","2021-02-05","-0.003382"
"600519","2021-02-08","0.024125"
"600519","2021-02-09","0.036993"
"600519","2021-02-10","0.058854"
"600519","2021-02-18","-0.049981"
"600519","2021-02-19","-0.004452"
"600519","2021-02-22","-0.069911"
"600519","2021-02-23","0.008295"
"600519","2021-02-24","-0.051149"
"600519","2021-02-25","-0.017816"
"600519","2021-02-26","-0.012660"
"600519","2021-03-01","0.016591"
"600519","2021-03-02","-0.046339"
"600519","2021-03-03","0.039845"
"600519","2021-03-04","-0.050000"
"600519","2021-03-05","0.013335"
"600519","2021-03-08","-0.048594"
"600519","2021-03-09","-0.011740"
"600519","2021-03-10","0.017047"
"600519","2021-03-11","0.039589"
"600519","2021-03-12","-0.010742"
"600519","2021-03-15","-0.024951"
"600519","2021-03-16","0.017743"
"600519","2021-03-17","0.009878"
"600519","2021-03-18","0.019376"
"600519","2021-03-19","-0.028845"
"600519","2021-03-22","-0.009955"
"600519","2021-03-23","0.003020"
"600519","2021-03-24","-0.003507"
"600519","2021-03-25","-0.009050"
"600519","2021-03-26","0.021309"
"600519","2021-03-29","0.010482"
"600519","2021-03-30","0.010791"
"600519","2021-03-31","-0.022884"
"600519","2021-04-01","0.017670"
"600519","2021-04-02","0.057471"
"600519","2021-04-06","-0.016637"
"600519","2021-04-07","-0.030588"
"600519","2021-04-08","0.004367"
"600519","2021-04-09","-0.024155"
"600519","2021-04-12","-0.005500"
"600519","2021-04-13","0.006028"
"600519","2021-04-14","0.012865"
"600519","2021-04-15","-0.015340"
"600519","2021-04-16","0.019538"
"600519","2021-04-19","0.016068"
"600519","2021-04-20","0.003257"
"600519","2021-04-21","-0.007065"
"600519","2021-04-22","-0.011779"
"600519","2021-04-23","0.025999"
"600519","2021-04-26","-0.014756"
"600519","2021-04-27","0.007999"
"600519","2021-04-28","-0.025038"
"600519","2021-04-29","-0.007659"
"600519","2021-04-30","-0.009663"
"600519","2021-05-06","-0.023809"
"600519","2021-05-07","-0.028586"
"600519","2021-05-10","-0.012596"
"600519","2021-05-11","0.042559"
"600519","2021-05-12","0.012762"
"600519","2021-05-13","-0.006300"
"600519","2021-05-14","0.019452"
"600519","2021-05-17","0.023937"
"600519","2021-05-18","0.000656"
"600519","2021-05-19","-0.005007"
"600519","2021-05-20","0.004822"
"600519","2021-05-21","-0.008150"
"600519","2021-05-24","0.014294"
"600519","2021-05-25","0.059485"
"600519","2021-05-26","0.011620"
"600519","2021-05-27","0.011261"
"600519","2021-05-28","-0.006682"
"600519","2021-05-31","-0.005381"
"600519","2021-06-01","0.010347"
"600519","2021-06-02","-0.008456"
"600519","2021-06-03","0.000099"
"600519","2021-06-04","0.013176"
"600519","2021-06-07","0.008661"
"600519","2021-06-08","-0.035227"
"600519","2021-06-09","0.003880"
"600519","2021-06-10","0.017722"
"600519","2021-06-11","-0.026656"
"600519","2021-06-15","0.006513"
"600519","2021-06-16","-0.015960"
"600519","2021-06-17","-0.000505"
"600519","2021-06-18","-0.030585"
"600519","2021-06-21","-0.004448"
"600519","2021-06-22","-0.003204"
"600519","2021-06-23","-0.017817"
"600519","2021-06-24","0.014745"
"600519","2021-06-25","0.021105"
"600519","2021-06-28","0.005263"
"600519","2021-06-29","-0.019501"
"600519","2021-06-30","-0.002570"
"600519","2021-07-01","0.023484"
"600519","2021-07-02","-0.043705"
"600519","2021-07-05","-0.009439"
"600519","2021-07-06","0.009478"
"600519","2021-07-07","-0.004421"
"600519","2021-07-08","-0.009481"
"600519","2021-07-09","-0.006494"
"600519","2021-07-12","-0.005634"
"600519","2021-07-13","0.011168"
"600519","2021-07-14","-0.010540"
"600519","2021-07-15","0.018344"
"600519","2021-07-16","-0.021066"
"600519","2021-07-19","0.009765"
"600519","2021-07-20","0.002532"
"600519","2021-07-21","-0.005556"
"600519","2021-07-22","-0.014723"
"600519","2021-07-23","-0.020624"
"600519","2021-07-26","-0.050468"
"600519","2021-07-27","-0.050562"
"600519","2021-07-28","0.032699"
"600519","2021-07-29","-0.010803"
"600519","2021-07-30","-0.040462"
"600519","2021-08-02","0.045271"
"600519","2021-08-03","-0.003248"
"600519","2021-08-04","-0.014463"
"600519","2021-08-05","-0.014501"
"600519","2021-08-06","-0.016480"
"600519","2021-08-09","0.013645"
"600519","2021-08-10","0.062109"
"600519","2021-08-11","-0.026959"
"600519","2021-08-12","-0.034562"
"600519","2021-08-13","0.005941"
"600519","2021-08-16","-0.000494"
"600519","2021-08-17","-0.037782"
"600519","2021-08-18","-0.009174"
"600519","2021-08-19","-0.000019"
"600519","2021-08-20","-0.044427"
"600519","2021-08-23","0.014335"
"600519","2021-08-24","0.035021"
"600519","2021-08-25","0.024514"
"600519","2021-08-26","-0.042054"
"600519","2021-08-27","0.000646"
"600519","2021-08-30","-0.006284"
"600519","2021-08-31","-0.017654"
"600519","2021-09-01","0.041085"
"600519","2021-09-02","-0.001979"
"600519","2021-09-03","0.024351"
"600519","2021-09-06","0.007508"
"600519","2021-09-07","-0.001000"
"600519","2021-09-08","-0.021510"
"600519","2021-09-09","0.000600"
"600519","2021-09-10","0.017441"
"600519","2021-09-13","-0.005161"
"600519","2021-09-14","0.001814"
"600519","2021-09-15","-0.024900"
"600519","2021-09-16","0.013820"
"600519","2021-09-17","0.029260"
"600519","2021-09-22","-0.028654"
"600519","2021-09-23","-0.001643"
"600519","2021-09-24","0.036086"
"600519","2021-09-27","0.095041"
"600519","2021-09-28","-0.017757"
"600519","2021-09-29","-0.001131"
"600519","2021-09-30","0.005495"
"600519","2021-10-08","0.005246"
"600519","2021-10-11","0.014960"
"600519","2021-10-12","0.002073"
"600519","2021-10-13","0.031486"
"600519","2021-10-14","-0.009793"
"600519","2021-10-15","0.003124"
"600519","2021-10-18","-0.061018"
"600519","2021-10-19","0.006767"
"600519","2021-10-20","0.015903"
"600519","2021-10-21","0.001630"
"600519","2021-10-22","0.030911"
"600519","2021-10-25","-0.014713"
"600519","2021-10-26","-0.006396"
"600519","2021-10-27","-0.022595"
"600519","2021-10-28","0.003568"
"600519","2021-10-29","0.000323"
"600519","2021-11-01","-0.012639"
"600519","2021-11-02","0.000910"
"600519","2021-11-03","-0.021966"
"600519","2021-11-04","0.022210"
"600519","2021-11-05","0.008724"
"600519","2021-11-08","0.000088"
"600519","2021-11-09","-0.016532"
"600519","2021-11-10","-0.020123"
"600519","2021-11-11","0.008900"
"600519","2021-11-12","0.002362"
"600519","2021-11-15","-0.007126"
"600519","2021-11-16","0.026608"
"600519","2021-11-17","-0.007190"
"600519","2021-11-18","-0.001671"
"600519","2021-11-19","0.020318"
"600519","2021-11-22","0.014143"
"600519","2021-11-23","0.022737"
"600519","2021-11-24","0.023502"
"600519","2021-11-25","0.007743"
"600519","2021-11-26","-0.007679"
"600519","2021-11-29","0.022663"
"600519","2021-11-30","-0.027320"
"600519","2021-12-01","0.001150"
"600519","2021-12-02","0.000523"
"600519","2021-12-03","0.019586"
"600519","2021-12-06","-0.002323"
"600519","2021-12-07","-0.005810"
"600519","2021-12-08","0.044548"
"600519","2021-12-09","0.021317"
"600519","2021-12-10","0.001653"
"600519","2021-12-13","0.013493"
"600519","2021-12-14","0.015013"
"600519","2021-12-15","-0.006977"
"600519","2021-12-16","-0.007499"
"600519","2021-12-17","-0.032228"
"600519","2021-12-20","0.004028"
"600519","2021-12-21","-0.010083"
"600519","2021-12-22","0.004808"
"600519","2021-12-23","0.035156"
"600519","2021-12-24","0.034948"
"600519","2021-12-27","-0.028381"
"600519","2021-12-28","0.002983"
"600519","2021-12-29","-0.045450"
"600519","2021-12-30","0.016659"
"600519","2021-12-31","-0.012048"
"601398","2021-01-04","0.004008"
"601398","2021-01-05","-0.007984"
"601398","2021-01-06","0.000000"
"601398","2021-01-07","0.006036"
"601398","2021-01-08","0.000000"
"601398","2021-01-11","-0.002000"
"601398","2021-01-12","0.006012"
"601398","2021-01-13","0.007968"
"601398","2021-01-14","0.003953"
"601398","2021-01-15","0.013780"
"601398","2021-01-18","-0.001942"
"601398","2021-01-19","0.011673"
"601398","2021-01-20","-0.009615"
"601398","2021-01-21","-0.003883"
"601398","2021-01-22","-0.017544"
"601398","2021-01-25","0.001984"
"601398","2021-01-26","-0.003960"
"601398","2021-01-27","0.007952"
"601398","2021-01-28","-0.007890"
"601398","2021-01-29","0.011928"
"601398","2021-02-01","0.009823"
"601398","2021-02-02","-0.009728"
"601398","2021-02-03","-0.009823"
"601398","2021-02-04","0.005952"
"601398","2021-02-05","0.021696"
"601398","2021-02-08","-0.003861"
"601398","2021-02-09","-0.001938"
"601398","2021-02-10","0.019417"
"601398","2021-02-18","-0.001905"
"601398","2021-02-19","0.000000"
"601398","2021-02-22","0.024809"
"601398","2021-02-23","0.001862"
"601398","2021-02-24","-0.014870"
"601398","2021-02-25","0.026415"
"601398","2021-02-26","-0.012868"
"601398","2021-03-01","-0.005587"
"601398","2021-03-02","-0.009363"
"601398","2021-03-03","0.030246"
"601398","2021-03-04","0.000000"
"601398","2021-03-05","0.022018"
"601398","2021-03-08","-0.007181"
"601398","2021-03-09","-0.012658"
"601398","2021-03-10","-0.010989"
"601398","2021-03-11","0.014815"
"601398","2021-03-12","-0.007299"
"601398","2021-03-15","0.020221"
"601398","2021-03-16","0.009009"
"601398","2021-03-17","-0.012500"
"601398","2021-03-18","-0.009042"
"601398","2021-03-19","-0.021898"
"601398","2021-03-22","0.011194"
"601398","2021-03-23","-0.003690"
"601398","2021-03-24","0.001852"
"601398","2021-03-25","-0.009242"
"601398","2021-03-26","-0.001866"
"601398","2021-03-29","0.020561"
"601398","2021-03-30","0.003663"
"601398","2021-03-31","0.010949"
"601398","2021-04-01","-0.007220"
"601398","2021-04-02","-0.014545"
"601398","2021-04-06","0.000000"
"601398","2021-04-07","0.005535"
"601398","2021-04-08","-0.001835"
"601398","2021-04-09","-0.003676"
"601398","2021-04-12","0.011070"
"601398","2021-04-13","0.005474"
"601398","2021-04-14","-0.010889"
"601398","2021-04-15","0.000000"
"601398","2021-04-16","-0.003670"
"601398","2021-04-19","0.001842"
"601398","2021-04-20","-0.009191"
"601398","2021-04-21","-0.003711"
"601398","2021-04-22","-0.007449"
"601398","2021-04-23","-0.007505"
"601398","2021-04-26","-0.003781"
"601398","2021-04-27","-0.005693"
"601398","2021-04-28","-0.007634"
"601398","2021-04-29","0.003846"
"601398","2021-04-30","-0.017241"
"601398","2021-05-06","-0.001949"
"601398","2021-05-07","0.019531"
"601398","2021-05-10","0.005747"
"601398","2021-05-11","-0.003810"
"601398","2021-05-12","0.005736"
"601398","2021-05-13","-0.003802"
"601398","2021-05-14","0.007634"
"601398","2021-05-17","-0.001894"
"601398","2021-05-18","-0.001898"
"601398","2021-05-19","-0.009506"
"601398","2021-05-20","0.003839"
"601398","2021-05-21","-0.011472"
"601398","2021-05-24","0.003868"
"601398","2021-05-25","0.013487"
"601398","2021-05-26","0.000000"
"601398","2021-05-27","0.000000"
"601398","2021-05-28","0.001901"
"601398","2021-05-31","-0.011385"
"601398","2021-06-01","-0.005758"
"601398","2021-06-02","0.001931"
"601398","2021-06-03","-0.007707"
"601398","2021-06-04","0.003883"
"601398","2021-06-07","0.000000"
"601398","2021-06-08","0.005803"
"601398","2021-06-09","-0.001923"
"601398","2021-06-10","0.001927"
"601398","2021-06-11","-0.001923"
"601398","2021-06-15","-0.005780"
"601398","2021-06-16","0.001938"
"601398","2021-06-17","0.001934"
"601398","2021-06-18","0.000000"
"601398","2021-06-21","-0.005792"
"601398","2021-06-22","0.001942"
"601398","2021-06-23","-0.003876"
"601398","2021-06-24","0.011673"
"601398","2021-06-25","0.005769"
"601398","2021-06-28","-0.009560"
"601398","2021-06-29","-0.001931"
"601398","2021-06-30","0.000000"
"601398","2021-07-01","0.017408"
"601398","2021-07-02","-0.001901"
"601398","2021-07-05","-0.009524"
"601398","2021-07-06","0.004057"
"601398","2021-07-07","-0.002020"
"601398","2021-07-08","-0.010121"
"601398","2021-07-09","-0.008180"
"601398","2021-07-12","-0.016495"
"601398","2021-07-13","-0.004193"
"601398","2021-07-14","-0.008421"
"601398","2021-07-15","0.008493"
"601398","2021-07-16","-0.002105"
"601398","2021-07-19","-0.002110"
"601398","2021-07-20","-0.004228"
"601398","2021-07-21","-0.004246"
"601398","2021-07-22","0.004264"
"601398","2021-07-23","-0.002123"
"601398","2021-07-26","-0.006383"
"601398","2021-07-27","-0.010707"
"601398","2021-07-28","0.010823"
"601398","2021-07-29","-0.010707"
"601398","2021-07-30","-0.006494"
"601398","2021-08-02","0.002179"
"601398","2021-08-03","-0.004348"
"601398","2021-08-04","-0.006550"
"601398","2021-08-05","-0.002198"
"601398","2021-08-06","-0.002203"
"601398","2021-08-09","0.004415"
"601398","2021-08-10","0.002198"
"601398","2021-08-11","0.019737"
"601398","2021-08-12","-0.004301"
"601398","2021-08-13","-0.004320"
"601398","2021-08-16","0.002169"
"601398","2021-08-17","0.000000"
"601398","2021-08-18","0.010823"
"601398","2021-08-19","-0.006424"
"601398","2021-08-20","0.004310"
"601398","2021-08-23","-0.006438"
"601398","2021-08-24","0.000000"
"601398","2021-08-25","0.000000"
"601398","2021-08-26","-0.002160"
"601398","2021-08-27","0.004329"
"601398","2021-08-30","-0.012931"
"601398","2021-08-31","0.008734"
"601398","2021-09-01","0.012987"
"601398","2021-09-02","0.002137"
"601398","2021-09-03","0.008529"
"601398","2021-09-06","0.000000"
"601398","2021-09-07","0.004228"
"601398","2021-09-08","0.004211"
"601398","2021-09-09","-0.004193"
"601398","2021-09-10","0.008421"
"601398","2021-09-13","-0.004175"
"601398","2021-09-14","-0.012579"
"601398","2021-09-15","-0.006369"
"601398","2021-09-16","0.000000"
"601398","2021-09-17","0.004274"
"601398","2021-09-22","-0.014894"
"601398","2021-09-23","0.006479"
"601398","2021-09-24","-0.004292"
"601398","2021-09-27","-0.002155"
"601398","2021-09-28","0.006479"
"601398","2021-09-29","0.004292"
"601398","2021-09-30","-0.004274"
"601398","2021-10-08","0.010730"
"601398","2021-10-11","0.006369"
"601398","2021-10-12","0.002110"
"601398","2021-10-13","-0.006316"
"601398","2021-10-14","-0.002119"
"601398","2021-10-15","0.008493"
"601398","2021-10-18","-0.004211"
"601398","2021-10-19","-0.002114"
"601398","2021-10-20","-0.004237"
"601398","2021-10-21","0.008511"
"601398","2021-10-22","-0.002110"
"601398","2021-10-25","-0.002114"
"601398","2021-10-26","-0.004237"
"601398","2021-10-27","0.000000"
"601398","2021-10-28","-0.006383"
"601398","2021-10-29","0.000000"
"601398","2021-11-01","0.012848"
"601398","2021-11-02","-0.016913"
"601398","2021-11-03","-0.002151"
"601398","2021-11-04","0.002155"
"601398","2021-11-05","0.002151"
"601398","2021-11-08","-0.006438"
"601398","2021-11-09","0.002160"
"601398","2021-11-10","-0.004310"
"601398","2021-11-11","0.008658"
"601398","2021-11-12","-0.002146"
"601398","2021-11-15","0.004301"
"601398","2021-11-16","-0.004283"
"601398","2021-11-17","0.000000"
"601398","2021-11-18","-0.002151"
"601398","2021-11-19","0.004310"
"601398","2021-11-22","-0.006438"
"601398","2021-11-23","0.000000"
"601398","2021-11-24","0.002160"
"601398","2021-11-25","-0.002155"
"601398","2021-11-26","-0.004320"
"601398","2021-11-29","-0.006508"
"601398","2021-11-30","0.000000"
"601398","2021-12-01","0.004367"
"601398","2021-12-02","0.002174"
"601398","2021-12-03","0.000000"
"601398","2021-12-06","0.004338"
"601398","2021-12-07","0.006479"
"601398","2021-12-08","-0.004292"
"601398","2021-12-09","0.004310"
"601398","2021-12-10","0.000000"
"601398","2021-12-13","-0.006438"
"601398","2021-12-14","-0.002160"
"601398","2021-12-15","-0.002165"
"601398","2021-12-16","0.002169"
"601398","2021-12-17","-0.002165"
"601398","2021-12-20","0.000000"
"601398","2021-12-21","0.008677"
"601398","2021-12-22","-0.002151"
"601398","2021-12-23","0.002155"
"601398","2021-12-24","0.000000"
"601398","2021-12-27","0.002151"
"601398","2021-12-28","0.004292"
"601398","2021-12-29","-0.004274"
"601398","2021-12-30","-0.004292"
"601398","2021-12-31","-0.002155"
"601688","2021-01-04","0.001666"
"601688","2021-01-05","0.002217"
"601688","2021-01-06","0.009956"
"601688","2021-01-07","0.002738"
"601688","2021-01-08","0.006008"
"601688","2021-01-11","-0.015201"
"601688","2021-01-12","0.077178"
"601688","2021-01-13","-0.018424"
"601688","2021-01-14","-0.011470"
"601688","2021-01-15","-0.005802"
"601688","2021-01-18","0.010080"
"601688","2021-01-19","0.005252"
"601688","2021-01-20","-0.001045"
"601688","2021-01-21","0.009414"
"601688","2021-01-22","-0.023316"
"601688","2021-01-25","-0.009549"
"601688","2021-01-26","-0.038565"
"601688","2021-01-27","-0.006128"
"601688","2021-01-28","-0.007848"
"601688","2021-01-29","-0.017514"
"601688","2021-02-01","0.002300"
"601688","2021-02-02","0.001721"
"601688","2021-02-03","-0.004009"
"601688","2021-02-04","-0.028752"
"601688","2021-02-05","-0.003552"
"601688","2021-02-08","0.004159"
"601688","2021-02-09","0.024260"
"601688","2021-02-10","-0.001155"
"601688","2021-02-18","0.006940"
"601688","2021-02-19","0.021252"
"601688","2021-02-22","-0.012936"
"601688","2021-02-23","-0.010826"
"601688","2021-02-24","0.001152"
"601688","2021-02-25","0.005754"
"601688","2021-02-26","-0.017735"
"601688","2021-03-01","-0.005824"
"601688","2021-03-02","-0.005858"
"601688","2021-03-03","0.015910"
"601688","2021-03-04","-0.017981"
"601688","2021-03-05","0.019492"
"601688","2021-03-08","-0.005794"
"601688","2021-03-09","-0.010490"
"601688","2021-03-10","-0.005300"
"601688","2021-03-11","0.010065"
"601688","2021-03-12","-0.002931"
"601688","2021-03-15","-0.013521"
"601688","2021-03-16","-0.001192"
"601688","2021-03-17","0.001193"
"601688","2021-03-18","0.003576"
"601688","2021-03-19","-0.011283"
"601688","2021-03-22","0.020420"
"601688","2021-03-23","0.011183"
"601688","2021-03-24","-0.002328"
"601688","2021-03-25","0.001167"
"601688","2021-03-26","0.001166"
"601688","2021-03-29","0.003492"
"601688","2021-03-30","0.002320"
"601688","2021-03-31","-0.018519"
"601688","2021-04-01","0.004717"
"601688","2021-04-02","-0.004695"
"601688","2021-04-06","0.000000"
"601688","2021-04-07","-0.002358"
"601688","2021-04-08","-0.002955"
"601688","2021-04-09","-0.004742"
"601688","2021-04-12","-0.008934"
"601688","2021-04-13","-0.001803"
"601688","2021-04-14","0.009633"
"601688","2021-04-15","-0.004174"
